brand,collection,price,currency,country,life_span_date,price_before,price_difference,price_changed
Chopard,HAPPY DIAMONDS ICONS,17600,CHF,Switzerland,2021-06-30,17600.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,17600,CHF,Switzerland,2021-06-30,17600.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,23000,CHF,Switzerland,2021-06-30,23000.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,23000,CHF,Switzerland,2021-06-30,23000.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,29800,CHF,Switzerland,2021-06-30,29800.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,29800,CHF,Switzerland,2021-06-30,29800.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS JOAILLERIE,35900,CHF,Switzerland,2021-06-30,35900.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS JOAILLERIE,35900,CHF,Switzerland,2021-06-30,35900.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,28900,CHF,Switzerland,2021-06-30,28900.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,49800,CHF,Switzerland,2021-06-30,49800.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,49800,CHF,Switzerland,2021-06-30,49800.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,59800,CHF,Switzerland,2021-06-30,59800.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,47200,CHF,Switzerland,2021-06-30,47200.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,47200,CHF,Switzerland,2021-06-30,47200.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,47200,CHF,Switzerland,2021-06-30,47200.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,48200,CHF,Switzerland,2021-06-30,48200.0,0,0.0
Chopard,L.U.C XPS,33200,CHF,Switzerland,2021-06-30,33200.0,0,0.0
Chopard,L.U.C XPS,33200,CHF,Switzerland,2021-06-30,33200.0,0,0.0
Chopard,L.U.C XP SKELETEC,25500,CHF,Switzerland,2021-06-30,25500.0,0,0.0
Chopard,L.U.C GMT ONE BLACK,11500,CHF,Switzerland,2021-06-30,11500.0,0,0.0
Chopard,L.U.C TIME TRAVELER ONE BLACK,15500,CHF,Switzerland,2021-06-30,15500.0,0,0.0
Chopard,L.U.C QUATTRO SPIRIT 25,44700,CHF,Switzerland,2021-06-30,44700.0,0,0.0
Chopard,L.U.C PERPETUAL CHRONO,74900,CHF,Switzerland,2021-06-30,74900.0,0,0.0
Chopard,L.U.C XP URUSHI YEAR OF THE OX,24600,CHF,Switzerland,2021-06-30,24600.0,0,0.0
Chopard,L.U.C XP 漆 スピリット オブ シィー チェン,38000,CHF,Switzerland,2021-06-30,38000.0,0,0.0
Chopard,L.U.C XP,8810,CHF,Switzerland,2021-06-30,8810.0,0,0.0
Chopard,L.U.C XP,8810,CHF,Switzerland,2021-06-30,8810.0,0,0.0
Chopard,L.U.C SKULL ONE,9780,CHF,Switzerland,2021-06-30,9780.0,0,0.0
Chopard,L.U.C XP IL SARTO KITON,10800,CHF,Switzerland,2021-06-30,10800.0,0,0.0
Chopard,L.U.C XPS,8470,CHF,Switzerland,2021-06-30,8470.0,0,0.0
Chopard,L.U.C XPS,16500,CHF,Switzerland,2021-06-30,16500.0,0,0.0
Chopard,L.U.C XPS,16500,CHF,Switzerland,2021-06-30,16500.0,0,0.0
Chopard,L.U.C XPS,26800,CHF,Switzerland,2021-06-30,26800.0,0,0.0
Chopard,L.U.C XPS,17250,CHF,Switzerland,2021-06-30,17250.0,0,0.0
Chopard,L.U.C XPS,30800,CHF,Switzerland,2021-06-30,30800.0,0,0.0
Chopard,L.U.C XPS,31550,CHF,Switzerland,2021-06-30,31550.0,0,0.0
Chopard,L.U.C XPS SPIRIT OF NATURE,18000,CHF,Switzerland,2021-06-30,18000.0,0,0.0
Chopard,L.U.C XPS TWIST QF,19900,CHF,Switzerland,2021-06-30,19900.0,0,0.0
Chopard,L.U.C XPS 1860,21700,CHF,Switzerland,2021-06-30,21700.0,0,0.0
Chopard,L.U.C XPS 1860 OFFICER,29800,CHF,Switzerland,2021-06-30,29800.0,0,0.0
Chopard,L.U.C 1937,7950,CHF,Switzerland,2021-06-30,7950.0,0,0.0
Chopard,L.U.C 1937,8790,CHF,Switzerland,2021-06-30,8790.0,0,0.0
Chopard,L.U.C 1937,18200,CHF,Switzerland,2021-06-30,18200.0,0,0.0
Chopard,L.U.C XP URUSHI YEAR OF THE PIG,24600,CHF,Switzerland,2021-06-30,24600.0,0,0.0
Chopard,L.U.C XP URUSHI YEAR OF THE RAT,24600,CHF,Switzerland,2021-06-30,24600.0,0,0.0
Chopard,L.U.C QUATTRO,24900,CHF,Switzerland,2021-06-30,24900.0,0,0.0
Chopard,L.U.C QUATTRO,24900,CHF,Switzerland,2021-06-30,24900.0,0,0.0
Chopard,L.U.C QUATTRO,25400,CHF,Switzerland,2021-06-30,25400.0,0,0.0
Chopard,L.U.C QUATTRO,25800,CHF,Switzerland,2021-06-30,25800.0,0,0.0
Chopard,L.U.C QUATTRO,31200,CHF,Switzerland,2021-06-30,31200.0,0,0.0
Chopard,L.U.C XPS,25900,CHF,Switzerland,2021-06-30,25900.0,0,0.0
Chopard,L.U.C XPS,25900,CHF,Switzerland,2021-06-30,25900.0,0,0.0
Chopard,L.U.C XP,50200,CHF,Switzerland,2021-06-30,50200.0,0,0.0
Chopard,L.U.C XP,50200,CHF,Switzerland,2021-06-30,50200.0,0,0.0
Chopard,L.U.C XP,57500,CHF,Switzerland,2021-06-30,57500.0,0,0.0
Chopard,L.U.C XP,57500,CHF,Switzerland,2021-06-30,57500.0,0,0.0
Chopard,L.U.C XP ESPRIT DE FLEURIER PEONY,95800,CHF,Switzerland,2021-06-30,95800.0,0,0.0
Chopard,L.U.C GMT ONE,9880,CHF,Switzerland,2021-06-30,9880.0,0,0.0
Chopard,L.U.C GMT ONE,20000,CHF,Switzerland,2021-06-30,20000.0,0,0.0
Chopard,L.U.C TIME TRAVELER ONE,13700,CHF,Switzerland,2021-06-30,13700.0,0,0.0
Chopard,L.U.C TIME TRAVELER ONE,24200,CHF,Switzerland,2021-06-30,24200.0,0,0.0
Chopard,L.U.C TIME TRAVELER ONE,37900,CHF,Switzerland,2021-06-30,37900.0,0,0.0
Chopard,L.U.C PERPETUAL TWIN,24700,CHF,Switzerland,2021-06-30,24700.0,0,0.0
Chopard,L.U.C PERPETUAL TWIN,24700,CHF,Switzerland,2021-06-30,24700.0,0,0.0
Chopard,L.U.C PERPETUAL TWIN,49800,CHF,Switzerland,2021-06-30,49800.0,0,0.0
Chopard,L.U.C CHRONO ONE FLYBACK,26900,CHF,Switzerland,2021-06-30,26900.0,0,0.0
Chopard,L.U.C CHRONO ONE FLYBACK,29100,CHF,Switzerland,2021-06-30,29100.0,0,0.0
Chopard,L.U.C LUNAR BIG DATE,29900,CHF,Switzerland,2021-06-30,29900.0,0,0.0
Chopard,L.U.C LUNAR BIG DATE,29900,CHF,Switzerland,2021-06-30,29900.0,0,0.0
Chopard,L.U.C LUNAR ONE,59800,CHF,Switzerland,2021-06-30,59800.0,0,0.0
Chopard,L.U.C LUNAR ONE,60800,CHF,Switzerland,2021-06-30,60800.0,0,0.0
Chopard,L.U.C LUNAR ONE,94000,CHF,Switzerland,2021-06-30,94000.0,0,0.0
Chopard,L.U.C LUNAR ONE,72900,CHF,Switzerland,2021-06-30,72900.0,0,0.0
Chopard,L.U.C PERPETUAL CHRONO,91100,CHF,Switzerland,2021-06-30,91100.0,0,0.0
Chopard,L.U.C PERPETUAL CHRONO,91100,CHF,Switzerland,2021-06-30,91100.0,0,0.0
Chopard,L.U.C HERITAGE GRAND CRU,23900,CHF,Switzerland,2021-06-30,23900.0,0,0.0
Chopard,L.U.C HERITAGE GRAND CRU,39600,CHF,Switzerland,2021-06-30,39600.0,0,0.0
Chopard,L.U.C HERITAGE GRAND CRU,42800,CHF,Switzerland,2021-06-30,42800.0,0,0.0
Chopard,L.U.C HERITAGE GRAND CRU,42800,CHF,Switzerland,2021-06-30,42800.0,0,0.0
Chopard,L.U.C 8HF POWER CONTROL,19900,CHF,Switzerland,2021-06-30,19900.0,0,0.0
Chopard,L'HEURE DU DIAMANT PETITE OVALE,47000,CHF,Switzerland,2021-06-30,47000.0,0,0.0
