brand,url,image_url,collection,reference_code,price,currency,country,life_span_date,category,scrapping_date,price_eur
Chopard,https://www.chopard.com/fr-ch/watch/295363-5013.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-5013_01.png",ALPINE EAGLE,295363-5013,74800.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,81481.48
Chopard,https://www.chopard.com/fr-ch/watch/295363-1008.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-1008_01.png",ALPINE EAGLE,295363-1008,82400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,89760.35
Chopard,https://www.chopard.com/fr-ch/watch/295363-0002.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-0002_01.png",ALPINE EAGLE,295363-0002,82400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,89760.35
Chopard,https://www.chopard.com/fr-ch/watch/295363-1007.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-1007_01.png",ALPINE EAGLE,295363-1007,82400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,89760.35
Chopard,https://www.chopard.com/fr-ch/watch/295363-1006.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-1006_01.png",ALPINE EAGLE,295363-1006,87300.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,95098.04
Chopard,https://www.chopard.com/fr-ch/watch/295363-5011.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-5011_01.png",ALPINE EAGLE,295363-5011,87300.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,95098.04
Chopard,https://www.chopard.com/fr-ch/watch/209415-5004.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/209415-5004_01.png",HAPPY DIAMONDS,209415-5004,9310.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,10141.61
Chopard,https://www.chopard.com/fr-ch/watch/203957-1214.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/203957-1214_01.png",HAPPY DIAMONDS,203957-1214,17100.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,18627.45
Chopard,https://www.chopard.com/fr-ch/watch/203957-5214.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/203957-5214_01.png",HAPPY DIAMONDS,203957-5214,17100.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,18627.45
Chopard,https://www.chopard.com/fr-ch/watch/209426-5201.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/209426-5201_01.png",HAPPY DIAMONDS,209426-5201,20000.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,21786.49
Chopard,https://www.chopard.com/fr-ch/watch/209426-1201.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/209426-1201_01.png",HAPPY DIAMONDS,209426-1201,20000.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,21786.49
Chopard,https://www.chopard.com/fr-ch/watch/205369-5002.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/205369-5002_01.png",HAPPY DIAMONDS,205369-5002,31800.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,34640.52
Chopard,https://www.chopard.com/fr-ch/watch/278620-3001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278620-3001_01.png",HAPPY SPORT,278620-3001,4420.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,4814.81
Chopard,https://www.chopard.com/fr-ch/watch/278590-3001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278590-3001_01.png",HAPPY SPORT,278590-3001,4630.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,5043.57
Chopard,https://www.chopard.com/fr-ch/watch/278620-3003.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278620-3003_01.png",HAPPY SPORT,278620-3003,4650.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,5065.36
Chopard,https://www.chopard.com/fr-ch/watch/278620-3004.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278620-3004_01.png",HAPPY SPORT,278620-3004,4650.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,5065.36
Chopard,https://www.chopard.com/fr-ch/watch/278620-3005.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278620-3005_01.png",HAPPY SPORT,278620-3005,4650.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,5065.36
Chopard,https://www.chopard.com/fr-ch/watch/278590-6015.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278590-6015_01.png",HAPPY SPORT,278590-6015,4950.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,5392.16
Chopard,https://www.chopard.com/fr-ch/watch/278620-6001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278620-6001_01.png",HAPPY SPORT,278620-6001,5580.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6078.43
Chopard,https://www.chopard.com/fr-ch/watch/278590-3002.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278590-3002_01.png",HAPPY SPORT,278590-3002,5730.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6241.83
